symbol,entry_date,exit_date,entry_price,exit_price,exit_type,pnl,pnl_pct,capital_after,bars_held,signal
NCPL,2018-02-12 00:00:00+05:00,2020-03-19 00:00:00+05:00,13.2206,5.2338,SL,-6042746.7,-60.412,3957253.3,766,sig_base
NCPL,2020-06-26 00:00:00+05:00,2023-07-20 00:00:00+05:00,6.6629,15.2626,TP,5103979.35,129.069,9061232.66,1119,sig_base
NCPL,2023-08-09 00:00:00+05:00,2025-12-09 00:00:00+05:00,16.6304,36.8775,TP,11023801.72,121.748,20085034.38,853,sig_base
NCPL,2026-02-02 00:00:00+05:00,2026-04-15 00:00:00+05:00,86.71,70.53,EOD,-3754381.17,-18.66,16330653.2,72,sig_base
NCPL,2020-08-11 00:00:00+05:00,2023-08-10 00:00:00+05:00,7.6505,17.5925,TP,12986077.92,129.953,22986077.92,1094,sig_rules
NCPL,2024-05-03 00:00:00+05:00,2025-12-16 00:00:00+05:00,22.759,53.962,TP,31492487.43,137.102,54478565.35,592,sig_rules
NCPL,2020-08-11 00:00:00+05:00,2023-08-10 00:00:00+05:00,7.6505,17.5925,TP,12986077.92,129.953,22986077.92,1094,sig_ensemble
NCPL,2024-05-03 00:00:00+05:00,2025-12-16 00:00:00+05:00,22.759,53.962,TP,31492487.43,137.102,54478565.35,592,sig_ensemble
